A,B
0,0
0,1
1,0
0,1
1,1
2,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
2,0
0,1
2,0
0,0
1,1
1,1
0,0
4,0
2,4
4,2
4,3
6,3
2,2
2,3
14,2
12,12
3,6
13,5
5,13
4,7
6,0
13,6
13,8
12,4
21,17
33,12
24,10
19,44
44,16
52,34
60,28
56,65
12,53
40,28
66,35
135,41
88,77
143,85
210,110
162,106
74,202
52,64
203,116
154,125
110,96
118,77
73,61
43,61
39,49
90,55
121,105
129,63
125,99
156,122
225,159
119,116
203,98
203,110
223,103
240,163
240,106
137,103
178,33
325,125
290,157
292,271
301,196
384,248
269,184
93,102
320,99
397,321
360,284
404,125
420,394
350,222
120,241
263,207
599,251
438,408
352,436
392,447
311,464
86,303
307,231
346,346
325,214
303,371
329,350
289,331
128,252
337,112
304,398
303,375
302,281
299,313
184,377
73,192
342,59
274,358
298,378
244,340
244,309
180,428
81,215
354,69
285,424
230,345
209,342
213,249
156,290
83,97
260,60
215,195
223,331
164,240
157,188
129,209
68,104
185,55
156,270
141,223
132,262
101,206
98,134
68,27
150,79
127,152
130,167
112,178
108,232
92,179
54,60
112,28
142,222
148,173
107,222
106,176
82,152
45,59
126,20
127,133
98,121
91,129
104,119
63,98
51,35
120,25
121,149
104,184
95,140
76,99
67,76
55,44
115,26
66,80
105,28
94,99
127,117
94,134
48,40
127,40
145,133
118,162
118,73
90,138
61,164
39,97
89,29
95,120
83,99
89,116
96,119
60,119
37,40
97,46
97,112
97,140
88,156
107,65
76,138
39,39
95,25
108,124
97,127
112,160
94,102
57,65
42,142
127,66
71,117
100,18
101,133
109,118
66,134
33,38
144,28
111,126
131,188
112,125
102,130
80,139
47,29
100,23
110,98
115,149
83,141
104,128
84,133
44,57
131,37
151,121
98,161
70,192
41,167
21,142
