dia;inc_muertos;muertos;muertos_millon;inc_confirmados;confirmados;confirmados_cienmil;confirmados2
1;12;3.347;193,88;776;96.48;49,51;19.011
2;25;3.335;193,19;834;95.704;47,86;20.072
3;8;3.31;191,74;688;94.87;47,77;21.293
4;9;3.302;191,28;219;94.182;49,24;22.501
5;8;3.293;190,75;215;93.963;49,35;23.248
6;18;3.285;190,29;658;93.748;49,79;23.972
7;6;3.267;189,25;681;93.09;50,66;24.787
8;15;3.261;188,90;663;92.409;50,66;25.411
9;8;3.246;188,03;778;91.746;51,10;26.658
10;4;3.238;187,57;705;90.968;47,99;27.619
11;5;3.234;187,34;171;90.263;46,87;28.598
12;16;3.229;187,05;390;90.092;47,40;29.355
13;27;3.213;186,12;824;89.702;46,60;29.742
14;16;3.186;184,56;945;88.878;45,58;30.872
15;16;3.17;183,63;491;87.933;44,18;32.074
16;17;3.154;182,70;819;87.442;45,30;32.939
17;13;3.137;181,72;942;86.623;45,77;33.809
18;5;3.124;180,97;237;85.681;45,49;38.042
19;14;3.119;180,68;292;85.444;44,96;38.677
20;29;3.105;179,86;808;85.152;44,44;39.039
21;40;3.076;178,18;680;84.344;42,31;40.229
22;27;3.036;175,87;740;83.664;42,32;41.135
23;25;3.009;174,30;240;82.924;42,17;42.192
24;12;2.984;172,86;512;82.684;45,13;43.283
25;15;2.972;172,16;263;82.172;46,91;44.492
26;8;2.957;171,29;251;81.909;46,32;45.053
27;20;2.949;170,83;649;81.658;46,22;45.309
28;11;2.929;169,67;703;81.009;46,85;46.451
29;21;2.918;169,03;684;80.306;48,95;47.605
30;7;2.897;167,82;901;79.622;51,60;48.826
31;28;2.89;167,41;893;78.721;52,54;49.789
32;10;2.862;165,79;145;77.828;53,84;50.979
33;7;2.852;165,21;202;77.683;55,00;51.306
34;20;2.845;164,80;441;77.481;55,76;51.542
35;21;2.825;163,64;682;77.04;58,50;52.365
36;14;2.804;162,43;714;76.358;60,10;53.509
37;12;2.79;161,62;751;75.644;62,35;54.339
38;18;2.778;160,92;819;74.893;63,99;55.27
39;20;2.76;159,88;162;74.074;64,47;56.189
40;12;2.74;158,72;233;73.912;65,75;56.605
41;19;2.728;158,03;758;73.679;65,84;56.987
42;24;2.709;156,93;1.065;72.921;66,58;57.966
43;23;2.685;155,53;1.142;71.856;67,03;59.089
44;32;2.662;154,20;1.063;70.714;67,34;60.284
45;19;2.63;152,35;1.118;69.651;67,69;61.428
46;17;2.611;151,25;345;68.533;66,88;62.313
47;14;2.594;150,26;332;68.188;67,10;62.562
48;48;2.58;149,45;915;67.856;67,58;62.944
49;26;2.532;146,67;958;66.941;67,61;63.847
50;39;2.506;145,17;1.102;65.983;67,45;64.881
51;48;2.467;142,91;1.034;64.881;65,87;65.983
52;30;2.419;140,13;903;63.847;66,51;66.941
53;10;2.389;138,39;382;62.944;66,05;67.856
54;24;2.379;137,81;249;62.562;65,20;68.188
55;14;2.355;136,42;885;62.313;65,65;68.533
56;45;2.341;135,61;1.144;61.428;67,42;69.651
57;29;2.296;133,00;1.195;60.284;66,37;70.714
58;34;2.267;131,32;1.123;59.089;66,52;71.856
59;11;2.233;129,35;979;57.966;66,70;72.921
60;11;2.222;128,71;382;56.987;67,65;73.679
61;14;2.211;128,08;416;56.605;66,92;73.912
62;29;2.197;127,27;919;56.189;67,76;74.074
63;49;2.168;125,59;931;55.27;69,44;74.893
64;47;2.119;122,75;830;54.339;70,36;75.644
65;35;2.072;120,03;1.144;53.509;71,68;76.358
66;24;2.037;118,00;823;52.365;70,30;77.04
67;18;2.013;116,61;236;51.542;72,43;77.481
68;36;1.995;115,57;327;51.306;73,16;77.683
69;35;1.959;113,48;1.19;50.979;74,94;77.828
70;57;1.924;111,45;963;49.789;92,57;78.721
71;32;1.867;108,15;1.221;48.826;92,03;79.622
72;53;1.835;106,30;1.154;47.605;89,97;80.306
73;21;1.782;103,23;1.142;46.451;90,25;81.009
74;27;1.761;102,01;256;45.309;90,18;81.658
75;35;1.734;100,45;561;45.053;90,93;81.909
76;30;1.699;98,42;1.209;44.492;92,07;82.172
77;37;1.669;96,68;1.091;43.283;90,74;82.684
78;59;1.632;94,54;1.057;42.192;89,98;82.924
79;42;1.573;91,12;906;41.135;91,08;83.664
80;29;1.531;88,69;1.19;40.229;89,45;84.344
81;17;1.502;87,01;362;39.039;87,28;85.152
82;36;1.485;86,02;635;38.677;89,38;85.444
83;6;1.449;83,94;4.233;38.042;90,02;85.681
84;39;1.443;83,59;870;33.809;72,50;86.623
85;54;1.404;81,33;865;32.939;74,54;87.442
86;48;1.35;78,20;1.202;32.074;75,67;87.933
87;58;1.302;75,42;1.13;30.872;74,01;88.878
88;25;1.244;72,06;387;29.742;71,44;89.702
89;47;1.219;70,61;757;29.355;71,97;90.092
90;33;1.172;67,89;979;28.598;70,68;90.263
91;47;1.139;65,98;961;27.619;68,30;90.968
92;39;1.092;63,26;1.247;26.658;63,95;91.746
93;49;1.053;61,00;624;25.411;61,36;92.409
94;23;1.004;58,16;815;24.787;59,36;93.09
95;34;981;56,83;724;23.972;59,10;93.748
96;27;947;54,86;747;23.248;58,52;93.963
97;40;920;53,29;1.208;22.501;56,46;94.182
98;37;880;50,98;1.221;21.293;50,88;94.87
99;26;843;48,83;1.061;20.072;47,52;95.704
100;44;817;47,33;915;19.011;44,95;96.48
