"Date","Days","Cases","Deaths"
2020-03-15,0,5,1
2020-03-16,1,0,0
2020-03-17,2,5,0
2020-03-18,3,0,0
2020-03-19,4,-1,0
2020-03-20,5,3,0
2020-03-21,6,0,0
2020-03-22,7,0,0
2020-03-23,8,6,0
2020-03-24,9,3,0
2020-03-25,10,0,0
2020-03-26,11,3,0
2020-03-27,12,0,0
2020-03-28,13,1,0
2020-03-29,14,7,0
2020-03-30,15,2,0
2020-03-31,16,2,0
2020-04-01,17,0,0
2020-04-02,18,3,0
2020-04-03,19,8,0
2020-04-04,20,3,0
2020-04-05,21,0,0
2020-04-06,22,11,1
2020-04-07,23,9,1
2020-04-08,24,7,0
2020-04-09,25,10,0
2020-04-10,26,8,0
2020-04-11,27,31,0
2020-04-12,28,11,0
2020-04-13,29,16,0
2020-04-14,30,3,2
2020-04-15,31,11,0
2020-04-16,32,13,0
2020-04-17,33,16,0
2020-04-18,34,18,2
2020-04-19,35,21,0
2020-04-20,36,22,0
2020-04-21,37,32,0
2020-04-22,38,5,1
2020-04-23,39,22,0
2020-04-24,40,26,2
2020-04-25,41,42,1
2020-04-26,42,46,2
2020-04-27,43,43,2
2020-04-28,44,27,0
2020-04-29,45,30,0
2020-04-30,46,27,1
2020-05-01,47,28,0
2020-05-02,48,14,0
2020-05-05,49,15,-2
2020-05-03,50,45,2
2020-05-04,51,44,1
2020-05-06,52,27,2
2020-05-07,53,33,0
2020-05-08,54,35,2
2020-05-09,55,34,2
2020-05-10,56,68,1
2020-05-11,57,67,0
2020-05-12,58,85,2
2020-05-13,59,62,0
2020-05-14,60,85,1
2020-05-15,61,143,2
2020-05-16,62,176,0
2020-05-17,63,125,1
2020-05-18,64,120,3
2020-05-19,65,149,2
2020-05-20,66,89,3
2020-05-21,67,132,5
2020-05-22,68,132,2
2020-05-23,69,247,3
2020-05-24,70,231,5
2020-05-25,71,311,4
2020-05-26,72,370,1
2020-05-27,73,336,1
2020-05-28,74,194,4
2020-05-29,75,191,5
2020-05-30,76,203,12
2020-05-31,77,259,10
2020-06-01,78,132,12
2020-06-02,79,348,6
2020-06-03,80,249,8
2020-06-04,81,250,7
2020-06-05,82,174,20
2020-06-06,83,394,15
2020-06-07,84,331,58
2020-06-08,85,307,14
2020-06-09,86,263,22
2020-06-10,87,447,15
2020-06-11,88,364,22
2020-06-12,89,355,27
2020-06-13,90,340,18
2020-06-14,91,421,17
2020-06-15,92,509,16
2020-06-16,93,354,17
2020-06-17,94,427,15
2020-06-18,95,434,19
2020-06-19,96,545,14
2020-06-20,97,617,17
2020-06-21,98,641,34
2020-06-22,99,246,31
2020-06-23,100,390,17
2020-06-24,101,624,16
2020-06-25,102,771,35
2020-06-26,103,279,19
2020-06-27,104,800,22
2020-06-28,105,209,49
2020-06-29,106,569,34
2020-06-30,107,533,21
2020-07-01,108,479,19
2020-07-02,109,687,27
2020-07-03,110,915,44
2020-07-04,111,1061,26
2020-07-05,112,1221,37
2020-07-06,113,1208,40
2020-07-07,114,747,27
2020-07-08,115,724,34
2020-07-09,116,815,23
2020-07-10,117,624,49
2020-07-11,118,1247,39
2020-07-12,119,961,47
2020-07-13,120,979,33
2020-07-14,121,757,47
2020-07-15,122,387,25
2020-07-16,123,1130,58
2020-07-17,124,1202,48
2020-07-18,125,865,54
2020-07-19,126,870,39
2020-07-20,127,4233,6
2020-07-21,128,997,53
2020-07-22,129,1190,29
2020-07-23,130,906,42
2020-07-24,131,1057,59
2020-07-25,132,1091,37
2020-07-26,133,1209,30
2020-07-27,134,561,35
2020-07-28,135,6,27
2020-07-29,136,1392,21
2020-07-30,137,1154,53
2020-07-31,138,1221,32
2020-08-01,139,963,57
2020-08-02,140,1190,33
2020-08-03,141,327,38
2020-08-04,142,236,18
2020-08-05,143,823,24
2020-08-06,144,1144,35
2020-08-07,145,830,47
2020-08-08,146,931,49
2020-08-09,147,919,29
2020-08-10,148,416,14
2020-08-11,149,382,11
2020-08-12,150,979,11
2020-08-13,151,1123,34
2020-08-14,152,1195,29
2020-08-15,153,1144,45
2020-08-16,154,885,14
2020-08-17,155,249,24
2020-08-18,156,382,10
2020-08-19,157,903,30
2020-08-20,158,1034,48
2020-08-21,159,1102,39
2020-08-22,160,958,26
2020-08-23,161,915,48
2020-08-24,162,332,14
2020-08-25,163,345,17
2020-08-26,164,1118,19
2020-08-27,165,1063,32
2020-08-28,166,1142,23
2020-08-29,167,1065,24
2020-08-30,168,758,19
2020-08-31,169,233,12
2020-09-01,170,162,20
2020-09-02,171,819,18
2020-09-03,172,751,12
2020-09-04,173,714,14
2020-09-05,174,682,21
2020-09-06,175,441,20
2020-09-07,176,202,7
2020-09-08,177,145,10
2020-09-09,178,893,28
2020-09-10,179,901,7
2020-09-11,180,684,21
2020-09-12,181,703,11
2020-09-13,182,649,20
2020-09-14,183,251,8
2020-09-15,184,263,15
2020-09-16,185,512,12
2020-09-17,186,240,25
2020-09-18,187,740,27
2020-09-19,188,680,40
2020-09-20,189,808,29
2020-09-21,190,292,14
2020-09-22,191,237,5
2020-09-23,192,942,13
2020-09-24,193,819,17
2020-09-25,194,491,16
2020-09-26,195,945,16
2020-09-27,196,824,27
2020-09-28,197,390,16
2020-09-29,198,171,5
2020-09-30,199,705,4
2020-10-01,200,778,8
2020-10-02,201,663,15
2020-10-03,202,681,6
2020-10-04,203,658,18
2020-10-05,204,215,8
2020-10-06,205,219,9
2020-10-07,206,688,8
2020-10-08,207,834,25
2020-10-09,208,776,12
2020-10-10,209,455,9
2020-10-11,210,609,9
2020-10-12,211,171,19
2020-10-13,212,111,3
2020-10-14,213,554,23
2020-10-15,214,714,20
2020-10-16,215,671,23
2020-10-17,216,666,25
2020-10-18,217,597,37
2020-10-19,218,332,15
2020-10-20,219,239,11
2020-10-21,220,620,5
2020-10-22,221,196,21
2020-10-23,222,757,13
2020-10-24,223,730,14
2020-10-25,224,730,15
2020-10-26,225,155,35
2020-10-27,226,107,7
2020-10-28,227,677,14
2020-10-29,228,749,17
2020-10-30,229,470,22
2020-10-31,230,549,10
2020-11-01,231,600,15
2020-11-02,232,165,9
2020-11-03,233,0,0
2020-11-04,234,379,10
2020-11-05,235,664,4
2020-11-06,236,702,14
2020-11-07,237,653,28
2020-11-08,238,548,17
2020-11-09,239,212,10
2020-11-10,240,98,2
2020-11-11,241,769,9
2020-11-12,242,682,13
2020-11-13,243,732,13
2020-11-14,244,580,22
