dia,casos,muertes,nuevos_casos,nuevas_muertes
1.00,27,0,27,0
2.00,27,0,0,0
3.00,27,0,0,0
4.00,44,0,17,0
5.00,44,0,0,0
6.00,59,0,15,0
7.00,59,0,0,0
8.00,59,0,0,0
9.00,59,0,0,0
10.00,59,0,0,0
11.00,59,0,0,0
12.00,59,1,0,1
13.00,59,1,0,0
14.00,60,1,1,0
15.00,61,1,1,0
16.00,62,2,1,1
17.00,62,2,0,0
18.00,67,2,5,0
19.00,84,2,17,0
20.00,220,3,136,1
21.00,240,3,20,0
22.00,393,6,153,3
23.00,535,17,142,11
24.00,632,17,97,0
25.00,898,26,266,9
26.00,1351,41,453,15
27.00,2024,56,673,15
28.00,2821,81,797,25
29.00,4588,106,1767,25
30.00,6068,132,1480,26
31.00,7825,170,1757,38
32.00,9826,213,2001,43
33.00,11948,259,2122,46
34.00,14556,305,2608,46
35.00,17374,362,2818,57
36.00,20617,427,3243,65
37.00,24525,493,3908,66
38.00,28276,565,3751,72
39.00,31494,638,3218,73
40.00,34936,724,3442,86
41.00,37554,813,2618,89
42.00,40546,910,2992,97
43.00,43109,1018,2563,108
44.00,45181,1115,2072,97
45.00,60332,1370,15151,255
46.00,64547,1383,4215,13
47.00,67107,1527,2560,144
48.00,69269,1669,2162,142
49.00,71336,1775,2067,106
50.00,73331,1873,1995,98
51.00,75195,2012,1864,139
52.00,75727,2128,532,116
53.00,76723,2247,996,119
54.00,77808,2359,1085,112
55.00,78818,2463,1010,104
56.00,79341,2619,523,156
57.00,80136,2698,795,79
58.00,81003,2762,867,64
59.00,82117,2800,1114,38
60.00,83388,2857,1271,57
61.00,85248,2921,1860,64
62.00,87091,2979,1843,58
63.00,89159,3046,2068,67
64.00,91017,3118,1858,72
65.00,93332,3202,2315,84
66.00,95689,3282,2357,80
67.00,98749,3384,3060,102
68.00,102869,3488,4120,104
69.00,106847,3585,3978,97
70.00,111026,3813,4179,228
71.00,115844,4022,4818,209
72.00,120962,4294,5118,272
73.00,128884,4631,7922,337
74.00,138358,4981,9474,350
75.00,148813,5424,10455,443
76.00,161013,5791,12200,367
77.00,173492,6542,12479,751
78.00,187733,7149,14241,607
79.00,204825,7960,17092,811
80.00,225119,8923,20294,963
81.00,256315,9998,31196,1075
82.00,288303,11385,31988,1387
83.00,322529,13101,34226,1716
84.00,356799,14792,34270,1691
85.00,401369,16646,44570,1854
86.00,443905,18962,42536,2316
87.00,497740,21607,53835,2645
88.00,558849,24421,61109,2814
89.00,624034,27913,65185,3492
90.00,686888,31503,62854,3590
91.00,744252,34734,57364,3231
92.00,808965,38727,64713,3993
93.00,883804,43404,74839,4677
94.00,961451,48420,77647,5016
95.00,1039097,53446,77646,5026
96.00,1121096,60232,81999,6786
97.00,1206366,66531,85270,6299
98.00,1272626,71303,66260,4772
99.00,1345891,76648,73265,5345
100.00,1423285,84224,77394,7576
101.00,1508343,90794,85058,6570
102.00,1595776,98218,87433,7424
103.00,1685399,105234,89623,7016
104.00,1760764,111298,75365,6064
105.00,1829287,116633,68523,5335
106.00,1894542,122023,65255,5390
107.00,1971519,129642,76977,7619
108.00,2050331,140133,78812,10491
109.00,2134762,148660,84431,8527
110.00,2217039,157123,82277,8463
111.00,2296735,163496,79696,6373
112.00,2367238,168484,70503,4988
113.00,2441894,173934,74656,5450
114.00,2529215,181177,87321,7243
115.00,2595819,187112,66604,5935
116.00,2674606,194447,78787,7335
117.00,2747756,199806,73150,5359
118.00,2847603,205966,99847,6160
119.00,2929437,209879,81834,3913
120.00,2996210,214778,66773,4899
121.00,3069038,221344,72828,6566
122.00,3148548,227906,79510,6562
123.00,3234222,233556,85674,5650
124.00,3322753,239133,88531,5577
125.00,3403384,243941,80631,4808
126.00,3480407,247647,77023,3706
127.00,3558016,251633,77609,3986
128.00,3637572,257590,79556,5957
129.00,3725875,263714,88303,6124
130.00,3818691,269356,92816,5642
131.00,3908389,274468,89698,5112
132.00,3996807,278874,88418,4406
133.00,4071341,282300,74534,3426
134.00,4142712,285890,71371,3590
135.00,4229831,291647,87119,5757
136.00,4317321,296665,87490,5018
137.00,4414505,301921,97184,5256
138.00,4512736,306980,98231,5059
139.00,4605710,311204,92974,4224
140.00,4684761,314102,79051,2898
141.00,4772712,317400,87951,3298
142.00,4869090,322584,96378,5184
143.00,4974063,327302,104973,4718
144.00,5082848,332692,108785,5390
145.00,5189651,337338,106803,4646
146.00,5288605,341254,98954,3916
147.00,5380857,342360,92252,1106
148.00,5471808,345728,90951,3368
149.00,5566448,349599,94640,3871
150.00,5670261,354741,103813,5142
151.00,5789593,359383,119332,4642
152.00,5912779,364037,123186,4654
153.00,6040545,368049,127766,4012
154.00,6146170,370963,105625,2914
155.00,6248942,374108,102772,3145
156.00,6362153,378652,113211,4544
157.00,6488669,384168,126516,5516
158.00,6616021,389298,127352,5130
159.00,6749878,393937,133857,4639
160.00,6875265,397724,125387,3787
161.00,6988933,401235,113668,3511
162.00,7097683,404449,108750,3214
163.00,7224455,409302,126772,4853
164.00,7360116,414433,135661,5131
165.00,7496844,419128,136728,4695
166.00,7641834,423775,144990,4647
167.00,7774803,427914,132969,4139
168.00,7894419,431071,119616,3157
169.00,8016011,434448,121592,3377
170.00,8159262,441167,143251,6719
171.00,8337290,446266,178028,5099
172.00,8476100,452541,138810,6275
173.00,8657454,457573,181354,5032
174.00,8816590,461689,159136,4116
175.00,8942876,465656,126286,3967
176.00,9079370,469051,136494,3395
177.00,9243547,474401,164177,5350
178.00,9419368,479616,175821,5215
179.00,9598236,486193,178868,6577
180.00,9787936,490753,189700,4560
181.00,9969183,495344,181247,4591
182.00,10128253,498414,159070,3070
183.00,10290068,502118,161815,3704
184.00,10483865,507741,193797,5623
185.00,10686103,512580,202238,4839
186.00,10894987,517657,208884,5077
187.00,11100787,522669,205800,5012
188.00,11288560,527008,187773,4339
189.00,11465109,530386,176549,3378
190.00,11642271,534227,177162,3841
191.00,11850782,540223,208511,5996
192.00,12066694,545500,215912,5277
193.00,12291655,550883,224961,5383
194.00,12523375,556160,231720,5277
195.00,12739094,560953,215719,4793
196.00,12933287,564842,194193,3889
197.00,13125840,568681,192553,3839
198.00,13350894,574259,225054,5578
199.00,13585182,579760,234288,5501
200.00,13841333,585504,256151,5744
201.00,14090160,592737,248827,7233
202.00,14317180,597715,227020,4978
203.00,14530808,601650,213628,3935
204.00,14735444,605742,204636,4092
205.00,14976980,611865,241536,6123
206.00,15260870,618742,283890,6877
207.00,15536711,628521,275841,9779
208.00,15820998,634777,284287,6256
209.00,16077988,640510,256990,5733
210.00,16307331,644473,229343,3963
211.00,16522678,649129,215347,4656
212.00,16767382,655289,244704,6160
213.00,17067358,661930,299976,6641
214.00,17357583,668313,290225,6383
215.00,17634847,674435,277264,6122
216.00,17896869,680193,262022,5758
217.00,18117782,684426,220913,4233
218.00,18325102,688652,207320,4226
219.00,18581913,695383,256811,6731
220.00,18859756,702481,277843,7098
221.00,19145691,709376,285935,6895
222.00,19421543,715843,275852,6467
223.00,19687233,721478,265690,5635
224.00,19914767,726302,227534,4824
225.00,20135948,731119,221181,4817
226.00,20397556,737256,261608,6137
227.00,20687275,744156,289719,6900
228.00,20972820,754065,285545,9909
229.00,21262245,760305,289425,6240
230.00,21518584,765962,256339,5657
231.00,21748840,770195,230256,4233
232.00,21948483,774492,199643,4297
233.00,22206548,781188,258065,6696
234.00,22487206,787700,280658,6512
235.00,22761659,794053,274453,6353
236.00,23015980,799922,254321,5869
237.00,23279291,805565,263311,5643
238.00,23503512,808905,224221,3340
239.00,23716693,813152,213181,4247
240.00,23973252,819629,256559,6477
241.00,24251514,825923,278262,6294
242.00,24535146,832005,283632,6082
243.00,24812127,837462,276981,5457
244.00,25078181,843159,266054,5697
245.00,25321400,846932,243219,3773
246.00,25566916,850985,245516,4053
247.00,25835921,857497,269005,6512
248.00,26120897,863575,284976,6078
249.00,26400962,869367,280065,5792
250.00,26695869,874992,294907,5625
251.00,26969310,880317,273441,5325
252.00,27215339,889350,246029,9033
253.00,27424356,893170,209017,3820
254.00,27670052,898134,245696,4964
255.00,27959236,904227,289184,6093
256.00,28264927,910119,305691,5892
257.00,28569623,916004,304696,5885
258.00,28853759,920931,284136,4927
259.00,29123702,924811,269943,3880
260.00,29369224,929047,245522,4236
261.00,29672747,936003,303523,6956
262.00,29962464,941440,289717,5437
263.00,30280651,946759,318187,5319
264.00,30592619,952712,311968,5953
265.00,30886124,957785,293505,5073
266.00,31170453,961530,284329,3745
267.00,31439393,965925,268940,4395
268.00,31722103,971990,282710,6065
269.00,32033584,978355,311481,6365
270.00,32354473,984138,320889,5783
271.00,32666075,989715,311602,5577
272.00,32965342,995136,299267,5421
273.00,33245199,998959,279857,3823
274.00,33483711,1002883,238512,3924
275.00,33777651,1009103,293940,6220
276.00,34093662,1015211,316011,6108
277.00,34416835,1023983,323173,8772
278.00,34735625,1029518,318790,5535
279.00,35037537,1034241,301912,4723
280.00,35318556,1038207,281019,3966
281.00,35588972,1042660,270416,4453
282.00,35915728,1048278,326756,5618
283.00,36269358,1054130,353630,5852
284.00,36632402,1063249,363044,9119
285.00,36981632,1068991,349230,5742
286.00,37331062,1073858,349430,4867
287.00,37635146,1077829,304084,3971
288.00,37920186,1081769,285040,3940
289.00,38250894,1087301,330708,5532
290.00,38639285,1093339,388391,6038
291.00,39041881,1099451,402596,6112
292.00,39439241,1105397,397360,5946
293.00,39809582,1110940,370341,5543
294.00,40171483,1114894,361901,3954
295.00,40520502,1119566,349019,4672
296.00,40915464,1125980,394962,6414
297.00,41367749,1132729,452285,6749
298.00,41840245,1139099,472496,6370
299.00,42329024,1145437,488779,6338
300.00,42788626,1151235,459602,5798
301.00,43227596,1155681,438970,4446
302.00,43643477,1161153,415881,5472
303.00,44122856,1168494,479379,7341
304.00,44636276,1175644,513420,7150
305.00,45184399,1182831,548123,7187
306.00,45726529,1190150,542130,7319
307.00,46184488,1196570,457959,6420
308.00,46671642,1201904,487154,5334
309.00,47142239,1208012,470597,6108
310.00,47647250,1217863,505011,9851
311.00,48217025,1226927,569775,9064
312.00,48807151,1235069,590126,8142
313.00,49391718,1243436,584567,8367
314.00,49965210,1250646,573492,7210
315.00,50483407,1256785,518197,6139
316.00,51038064,1264972,554657,8187
317.00,51590131,1274986,552067,10014
318.00,52176130,1285257,585999,10271
319.00,52810247,1293626,634117,8369
320.00,53515055,1304871,704808,11245
